Country,Mode,Battery_type,Powertrain,Year,EV_sales,Mass_vehicule,Scenario,Installed_battery_cap,Metal,Metal intensity (g/kWh),Metal_demand_t,Fiability_used,Comment
Canada,Cars,LMO,PHEV,2024,62000.0,1.0,Current Measures,9300.0,Manganese,1277.1002589838204,11.877032408549528,No comparison,(Gr-LMO)
Canada,Cars,NCA,PHEV,2024,62000.0,1.0,Current Measures,269700.0,Cobalt,149.56368345160004,40.337325426896534,Small variability in data,mean of Small variability in data
Canada,Cars,NCA,PHEV,2024,62000.0,1.0,Current Measures,269700.0,Copper,484.997905396169,130.80393508534678,Variability in data,mean of Variability in data
Canada,Cars,NCA,PHEV,2024,62000.0,1.0,Current Measures,269700.0,Graphite,65.2555225805155,17.59941443996503,No comparison,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Cars,NCA,PHEV,2024,62000.0,1.0,Current Measures,269700.0,Lithium,179.0,48.2763,Small variability in data,mean of Small variability in data
Canada,Cars,NCA,PHEV,2024,62000.0,1.0,Current Measures,269700.0,Manganese,59.41948687206784,16.0254356093967,Small variability in data,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Cars,NCA,PHEV,2024,62000.0,1.0,Current Measures,269700.0,Nickel,791.469154288161,213.459230911517,Small variability in data,mean of Small variability in data
Canada,Cars,NMC,PHEV,2024,62000.0,1.0,Current Measures,492900.0,Cobalt,216.0569064717551,106.49444919992808,Small variability in data,mean of Small variability in data
Canada,Cars,NMC,PHEV,2024,62000.0,1.0,Current Measures,492900.0,Copper,317.07315106442,156.28535615965262,No comparison,(Gr-NMC)
Canada,Cars,NMC,PHEV,2024,62000.0,1.0,Current Measures,492900.0,Lithium,373.86187056491104,184.27651600144466,Variability in data,mean of Variability in data
Canada,Cars,NMC,PHEV,2024,62000.0,1.0,Current Measures,492900.0,Manganese,158.5365755322099,78.14267807982625,No comparison,(Gr-NMC)
Canada,Cars,NMC,PHEV,2024,62000.0,1.0,Current Measures,492900.0,Nickel,563.6856690888599,277.840666293899,No comparison,(Gr-NMC)
Canada,Cars,Na-ion,PHEV,2024,62000.0,1.0,Current Measures,55800.0,Manganese,554.878014362737,30.962193201440723,Variability in data,
Canada,Cars,Na-ion,PHEV,2024,62000.0,1.0,Current Measures,55800.0,Nickel,334.688460516676,18.67561609683052,Small variability in data,
Canada,Vans,LFP,PHEV,2024,6400.0,1.9577507575642077,Current Measures,13952.0,Aluminum,46.40007822418474,0.6473738913838255,No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LFP,PHEV,2024,6400.0,1.9577507575642077,Current Measures,13952.0,Cobalt,1536.85058087675,21.442139304392416,Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LFP,PHEV,2024,6400.0,1.9577507575642077,Current Measures,13952.0,Copper,493.2248344592003,6.881472890374762,Variability in data,(Gr-LFP)
