Country,Mode,Powertrain,Year,Value,Mass_vehicule,Scenario
Canada,Trucks,FCEV,2046,95.73680749061077,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2046,989280.3440696447,1.0,Current Measures
Canada,Vans,PHEV,2046,102119.26132331816,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2047,2802.7815469288153,0.09808569078889517,Current Measures
Canada,Buses,BEV,2047,3462.259557970889,5.6752374182090595,Current Measures
Canada,Cars,BEV,2047,3132520.552449852,1.0,Current Measures
Canada,Trucks,BEV,2047,32973.90055210371,3.6892781241792854,Current Measures
Canada,Vans,BEV,2047,181356.4530365704,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2047,214.3303535886741,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2047,329.7390055210371,1.0,Current Measures
Canada,Trucks,FCEV,2047,98.92170165631111,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2047,1022190.917115215,1.0,Current Measures
Canada,Vans,PHEV,2047,105516.48176673186,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2048,2887.7712490697313,0.09808569078889517,Current Measures
Canada,Buses,BEV,2048,3567.246837086139,5.6752374182090595,Current Measures
Canada,Cars,BEV,2048,3227509.043077935,1.0,Current Measures
Canada,Trucks,BEV,2048,33973.77940082037,3.6892781241792854,Current Measures
Canada,Vans,BEV,2048,186855.78670451202,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2048,220.8295661053324,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2048,339.7377940082037,1.0,Current Measures
Canada,Trucks,FCEV,2048,101.9213382024611,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2048,1053187.1614254315,1.0,Current Measures
Canada,Vans,PHEV,2048,108716.09408262518,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2049,2967.845930182246,0.09808569078889517,Current Measures
Canada,Buses,BEV,2049,3666.162619636892,5.6752374182090595,Current Measures
Canada,Cars,BEV,2049,3317004.274909569,1.0,Current Measures
Canada,Trucks,BEV,2049,34915.834472732306,3.6892781241792854,Current Measures
Canada,Vans,BEV,2049,192037.08960002768,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2049,226.95292407276,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2049,349.1583447273231,1.0,Current Measures
Canada,Trucks,FCEV,2049,104.74750341819691,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2049,1082390.8686547016,1.0,Current Measures
Canada,Vans,PHEV,2049,111730.67031274339,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2050,3043.2689212343585,0.09808569078889517,Current Measures
Canada,Buses,BEV,2050,3759.3321968189134,5.6752374182090595,Current Measures
Canada,Cars,BEV,2050,3401300.5590266357,1.0,Current Measures
Canada,Trucks,BEV,2050,35803.16377922775,3.6892781241792854,Current Measures
Canada,Vans,BEV,2050,196917.4007857526,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2050,232.72056456498035,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2050,358.0316377922775,1.0,Current Measures
Canada,Trucks,FCEV,2050,107.40949133768324,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2050,1109898.0771560601,1.0,Current Measures
Canada,Vans,PHEV,2050,114570.12409352878,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Canada Net-zero
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Canada Net-zero
