Country,Mode,Battery_type,Powertrain,Year,EV_sales,Scenario,Associated_battery_cap,Installed_battery_cap
Canada,Vans,All,BEV,2038,112761.75600131536,Current Measures,75.0,8457131.700098652
Canada,Buses,All,FCEV,2038,133.26389345609996,Current Measures,35.0,4664.236270963499
Canada,Cars,All,FCEV,2038,205.0213745478461,Current Measures,1.75,358.7874054587307
Canada,Trucks,All,FCEV,2038,61.50641236435383,Current Measures,350.0,21527.24432752384
Canada,Cars,All,PHEV,2038,635566.2610983229,Current Measures,15.0,9533493.916474843
Canada,Vans,All,PHEV,2038,65606.83985531075,Current Measures,21.8,1430229.1088457745
Canada,2 and 3 wheelers,All,BEV,2039,1886.0190553661364,Current Measures,3.0,5658.05716609841
Canada,Buses,All,BEV,2039,2329.7882448640507,Current Measures,300.0,698936.4734592153
Canada,Cars,All,BEV,2039,2107903.6501150937,Current Measures,65.0,137013737.2574811
Canada,Trucks,All,BEV,2039,22188.459474895724,Current Measures,350.0,7765960.8162135035
Canada,Vans,All,BEV,2039,122036.52711192648,Current Measures,75.0,9152739.533394486
Canada,Buses,All,FCEV,2039,144.22498658682218,Current Measures,35.0,5047.8745305387765
Canada,Cars,All,FCEV,2039,221.88459474895723,Current Measures,1.75,388.29804081067516
Canada,Trucks,All,FCEV,2039,66.56537842468717,Current Measures,350.0,23297.88244864051
Canada,Cars,All,PHEV,2039,687842.2437217674,Current Measures,15.0,10317633.65582651
Canada,Vans,All,PHEV,2039,71003.07031966631,Current Measures,21.8,1547866.9329687257
Canada,2 and 3 wheelers,All,BEV,2040,2029.3476003392236,Current Measures,3.0,6088.042801017671
Canada,Buses,All,BEV,2040,2506.8411533602175,Current Measures,300.0,752052.3460080653
Canada,Cars,All,BEV,2040,2268094.3768497207,Current Measures,65.0,147426134.49523184
Canada,Trucks,All,BEV,2040,23874.67765104969,Current Measures,350.0,8356137.177867391
Canada,Vans,All,BEV,2040,131310.7270807733,Current Measures,75.0,9848304.531057997
Canada,Buses,All,FCEV,2040,155.18540473182298,Current Measures,35.0,5431.489165613804
Canada,Cars,All,FCEV,2040,238.74677651049691,Current Measures,1.75,417.8068588933696
Canada,Trucks,All,FCEV,2040,71.62403295314907,Current Measures,350.0,25068.411533602175
Canada,Cars,All,PHEV,2040,740115.0071825404,Current Measures,15.0,11101725.107738106
Canada,Vans,All,PHEV,2040,76398.96848335901,Current Measures,21.8,1665497.5129372266
Canada,2 and 3 wheelers,All,BEV,2041,2163.297737932467,Current Measures,3.0,6489.893213797401
Canada,Buses,All,BEV,2041,2672.308970387165,Current Measures,300.0,801692.6911161495
Canada,Cars,All,BEV,2041,2417803.354159816,Current Measures,65.0,157157218.02038804
Canada,Trucks,All,BEV,2041,25450.561622734906,Current Measures,350.0,8907696.567957217
Canada,Vans,All,BEV,2041,139978.088925042,Current Measures,75.0,10498356.669378148
Canada,Buses,All,FCEV,2041,165.4286505477769,Current Measures,35.0,5790.002769172192
Canada,Cars,All,FCEV,2041,254.50561622734907,Current Measures,1.75,445.3848283978609
Canada,Trucks,All,FCEV,2041,76.35168486820471,Current Measures,350.0,26723.08970387165
Canada,Cars,All,PHEV,2041,788967.4103047821,Current Measures,15.0,11834511.15457173
Canada,Vans,All,PHEV,2041,81441.79719275169,Current Measures,21.8,1775431.1788019869
Canada,2 and 3 wheelers,All,BEV,2042,2288.4888108136174,Current Measures,3.0,6865.466432440852
Canada,Buses,All,BEV,2042,2826.9567662991744,Current Measures,300.0,848087.0298897523
Canada,Cars,All,BEV,2042,2557722.788556396,Current Measures,65.0,166251981.25616574
Canada,Trucks,All,BEV,2042,26923.39777427785,Current Measures,350.0,9423189.220997248
Canada,Vans,All,BEV,2042,148078.6877585282,Current Measures,75.0,11105901.581889614
Canada,Buses,All,FCEV,2042,175.00208553280603,Current Measures,35.0,6125.072993648211
Canada,Cars,All,FCEV,2042,269.2339777427785,Current Measures,1.75,471.1594610498624
Canada,Trucks,All,FCEV,2042,80.77019332283356,Current Measures,350.0,28269.567662991747
Canada,Cars,All,PHEV,2042,834625.3310026134,Current Measures,15.0,12519379.965039201
Canada,Vans,All,PHEV,2042,86154.87287768912,Current Measures,21.8,1878176.228733623
Canada,2 and 3 wheelers,All,BEV,2043,2405.3091953824055,Current Measures,3.0,7215.927586147216
Canada,Buses,All,BEV,2043,2971.264300178266,Current Measures,300.0,891379.2900534797
Canada,Cars,All,BEV,2043,2688286.7477803356,Current Measures,65.0,174738638.6057218
Canada,Trucks,All,BEV,2043,28297.755239793005,Current Measures,350.0,9904214.333927551
Canada,Vans,All,BEV,2043,155637.65381886152,Current Measures,75.0,11672824.036414614
Canada,Buses,All,FCEV,2043,183.93540905865453,Current Measures,35.0,6437.7393170529085
Canada,Cars,All,FCEV,2043,282.97755239793,Current Measures,1.75,495.2107166963775
Canada,Trucks,All,FCEV,2043,84.89326571937902,Current Measures,350.0,29712.643001782657
Canada,Cars,All,PHEV,2043,877230.4124335832,Current Measures,15.0,13158456.186503747
Canada,Vans,All,PHEV,2043,90552.81676733762,Current Measures,21.8,1974051.40552796
Canada,2 and 3 wheelers,All,BEV,2044,2514.531231070112,Current Measures,3.0,7543.593693210336
Canada,Buses,All,BEV,2044,3106.1856383807267,Current Measures,300.0,931855.691514218
Canada,Cars,All,BEV,2044,2810358.434725419,Current Measures,65.0,182673298.25715226
Canada,Trucks,All,BEV,2044,29582.720365530728,Current Measures,350.0,10353952.127935754
