x,y,country_iso3_code,erml_commodity,concat_figure_notes_text,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url,year,yearbook_table_id,quantity,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code
79.282538,22.642556,IND,"Copper, refined",,79.282538,,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,509000,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,India,,,IN,Copper,
79.282538,22.642556,IND,"Copper (mine production, metal content)",,79.282538,Ores and concentrates (metal content),22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,28044,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,India,,,IN,Copper,
114.218582,-0.9663149999999999,IDN,"Copper, smelter",,114.218582,,-0.966315,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,221900,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Indonesia,,,ID,Copper,
114.218582,-0.9663149999999999,IDN,"Copper (mine production, metal content)",,114.218582,Ores and concentrates (metal content),-0.966315,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,922143,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Indonesia,,,ID,Copper,
55.508706,31.955713,IRN,"Copper (mine production, metal content)",,55.508706,Ores and concentrates (metal content),31.955713,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,326000,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Iran,,,IR,Copper,
10.612941,45.366552,ITA,"Copper, refined",,10.612941,,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,10200,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Italy,,,IT,Copper,
142.796275,43.46076,JPN,"Copper, smelter",,142.796275,,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,1174623,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Japan,,,JP,Copper,
142.796275,43.46076,JPN,"Copper, refined",,142.796275,,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,1494160,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Japan,,,JP,Copper,
69.217179,48.473662,KAZ,"Copper, smelter",Estimates.,69.217179,,48.473662,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,290000,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Kazakhstan,,,KZ,Copper,*
69.217179,48.473662,KAZ,"Copper, refined",,69.217179,,48.473662,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,417108,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Kazakhstan,,,KZ,Copper,
74.82593399999999,41.734527,KGZ,"Copper (mine production, metal content)",,74.825934,Ores and concentrates (metal content),41.734527,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,7200,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Kyrgyzstan,,,KG,Copper,
-9.418948,19.331734,MRT,"Copper (mine production, metal content)",,-9.418948,Ores and concentrates (metal content),19.331734,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,13014,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Mauritania,,,MR,Copper,
-101.933344,23.629557,MEX,"Copper (mine production, metal content)",,-101.933344,Ores and concentrates (metal content),23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,778839,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Mexico,,,MX,Copper,
